District code,State,District,Longitude,Latitude,Population,Households_with_Internet,sex_ratio,literacy_rate
81,Haryana,Bhiwani,76.02110225806452,28.728868064516128,1634445,5292,89.0,65.0
88,Haryana,Faridabad,77.32718536585368,28.14873109756098,1809733,43437,87.0,70.0
78,Haryana,Fatehabad,75.54608716814157,29.57298318584072,942011,3210,90.0,59.0
86,Haryana,Gurgaon,77.01935130260523,28.043894789579163,1514432,67087,85.0,73.0
80,Haryana,Hisar,75.84324682779452,29.23628731117825,1743931,10132,87.0,64.0
83,Haryana,Jhajjar,76.61137142857145,28.59651868131869,958405,5034,86.0,71.0
77,Haryana,Jind,76.29598575667653,29.45149821958457,1334152,5263,87.0,62.0
73,Haryana,Kaithal,76.37698930041155,29.96068539094649,1074304,3724,88.0,60.0
74,Haryana,Karnal,76.87488025889972,29.703200647249204,1505324,11163,89.0,65.0
72,Haryana,Kurukshetra,76.78774680306903,30.05652659846548,964655,7356,89.0,67.0
84,Haryana,Mahendragarh,76.14018072916659,28.1352161458333,922088,2624,89.0,68.0
69,Haryana,Panchkula,76.97173238095236,30.700897142857134,561293,18615,87.0,72.0
75,Haryana,Panipat,76.92895914634147,29.34352134146342,1205437,10024,86.0,65.0
85,Haryana,Rewari,76.55956007604564,28.19164714828897,900332,5121,90.0,71.0
82,Haryana,Rohtak,76.53123235294117,28.892517647058817,1061204,8482,87.0,70.0
79,Haryana,Sirsa,74.90970480225988,29.63583446327684,1295189,6287,90.0,60.0
23,Himachal Pradesh,Chamba,76.39354063116366,32.66741814595661,519080,1615,99.0,62.0
28,Himachal Pradesh,Hamirpur,76.49767088607594,31.67668481012659,454768,2521,110.0,79.0
168,Himachal Pradesh,Hamirpur,76.49767088607594,31.67668481012659,1104285,1196,86.0,59.0
28,Uttar Pradesh,Hamirpur,79.82619479768789,25.738158381502892,454768,2521,110.0,79.0
168,Uttar Pradesh,Hamirpur,79.82619479768789,25.738158381502892,1104285,1196,86.0,59.0
24,Himachal Pradesh,Kangra,76.41205910931173,32.14093603238864,1510075,8053,101.0,76.0
